Zeitpunkt;Skalierter Netzlast [MWh]
2035-07-02 01:07:30;15494.487455111708
2035-07-02 01:22:30;15241.226926097685
2035-07-02 01:37:30;15180.709680212172
2035-07-02 01:52:30;15036.877595813046
2035-07-02 02:07:30;14868.589912049225
2035-07-02 02:22:30;14806.000157742978
2035-07-02 02:37:30;14771.1820162746
2035-07-02 02:52:30;14789.420090377083
2035-07-02 03:07:30;14813.461188057629
2035-07-02 03:22:30;14680.406147446332
2035-07-02 03:37:30;14653.463537976757
2035-07-02 03:52:30;14624.86292177059
2035-07-02 04:07:30;14572.221207883878
2035-07-02 04:22:30;14422.586099906688
2035-07-02 04:37:30;14399.374005594436
2035-07-02 04:52:30;14445.383692534791
2035-07-02 05:07:30;14523.310009154491
2035-07-02 05:22:30;14437.508160535992
2035-07-02 05:37:30;14403.933524120057
2035-07-02 05:52:30;14478.54382726658
2035-07-02 06:07:30;14808.901669532008
2035-07-02 06:22:30;14776.156036484368
2035-07-02 06:37:30;14917.501110778612
2035-07-02 06:52:30;15082.8872827534
2035-07-02 07:07:30;15226.304865468379
2035-07-02 07:22:30;15597.283872780248
2035-07-02 07:37:30;16034.168647871546
2035-07-02 07:52:30;16386.495079396784
2035-07-02 08:07:30;16697.37134250729
2035-07-02 08:22:30;16954.776888362787
2035-07-02 08:37:30;17353.942010196675
2035-07-02 08:52:30;17531.348731011738
2035-07-02 09:07:30;17865.85159011864
2035-07-02 09:22:30;17976.109038101833
2035-07-02 09:37:30;18212.789499749964
2035-07-02 09:52:30;18518.6917426507
2035-07-02 10:07:30;18664.181833786417
2035-07-02 10:22:30;18835.37102933927
2035-07-02 10:37:30;18938.581948691954
2035-07-02 10:52:30;19284.690854954984
2035-07-02 11:07:30;19510.179771131137
2035-07-02 11:22:30;19794.113424772066
2035-07-02 11:37:30;19842.195620133156
2035-07-02 11:52:30;19783.75088266838
2035-07-02 12:07:30;19702.094050891355
2035-07-02 12:22:30;19641.99130668999
2035-07-02 12:37:30;19341.063083999023
2035-07-02 12:52:30;19174.43340697179
2035-07-02 13:07:30;19135.470248661943
2035-07-02 13:22:30;19084.48654151182
2035-07-02 13:37:30;18819.61996534167
2035-07-02 13:52:30;18596.6180592704
2035-07-02 14:07:30;18322.21794436486
2035-07-02 14:22:30;18032.895768830018
2035-07-02 14:37:30;17954.55495052617
2035-07-02 14:52:30;17857.147054751546
2035-07-02 15:07:30;17771.345206133046
2035-07-02 15:22:30;17753.936135398857
2035-07-02 15:37:30;17789.168778551382
2035-07-02 15:52:30;17713.314970352418
2035-07-02 16:07:30;17941.290896633454
2035-07-02 16:22:30;17923.05282253097
2035-07-02 16:37:30;17924.296327583415
2035-07-02 16:52:30;17925.12533095171
2035-07-02 17:07:30;18265.845715320822
2035-07-02 17:22:30;18377.761170040605
2035-07-02 17:37:30;18660.865820313236
2035-07-02 17:52:30;18897.13178027722
2035-07-02 18:07:30;18997.441187840876
2035-07-02 18:22:30;19046.352386570263
2035-07-02 18:37:30;19162.827359815667
2035-07-02 18:52:30;19061.688948883715
2035-07-02 19:07:30;19689.244498682787
2035-07-02 19:22:30;19474.947127978612
2035-07-02 19:37:30;19392.461292833294
2035-07-02 19:52:30;19393.704797885734
2035-07-02 20:07:30;19260.649757274437
2035-07-02 20:22:30;19186.039454127917
2035-07-02 20:37:30;18883.45322470036
2035-07-02 20:52:30;18857.754120283225
2035-07-02 21:07:30;18832.884019234385
2035-07-02 21:22:30;18728.8440965134
2035-07-02 21:37:30;18756.201207667127
2035-07-02 21:52:30;18857.754120283225
2035-07-02 22:07:30;18999.099194577466
2035-07-02 22:22:30;18841.17405291733
2035-07-02 22:37:30;18614.027130004586
2035-07-02 22:52:30;18432.8898940322
2035-07-02 23:07:30;18028.750751988544
2035-07-02 23:22:30;17749.791118557383
2035-07-02 23:37:30;17557.46233711302
2035-07-02 23:52:30;17475.391003651846
2035-07-03 00:07:30;16832.91339322347
2035-07-03 00:22:30;16707.319382926824
2035-07-03 00:37:30;16544.834722741067
2035-07-03 00:52:30;16439.551294967645
2035-07-03 01:07:30;16256.756052258666
2035-07-03 01:22:30;16154.374136274273
2035-07-03 01:37:30;16176.75722721823
2035-07-03 01:52:30;16094.27139207291
2035-07-03 02:07:30;15951.682812726225
2035-07-03 02:22:30;15790.856159277057
2035-07-03 02:37:30;15757.69602454527
2035-07-03 02:52:30;15751.47849928306
2035-07-03 03:07:30;15778.00660706849
2035-07-03 03:22:30;15812.410246852718
2035-07-03 03:37:30;15947.123294200605
2035-07-03 03:52:30;16035.412152923987
2035-07-03 04:07:30;16200.383823214628
2035-07-03 04:22:30;16244.735503418393
2035-07-03 04:37:30;16456.545864017684
2035-07-03 04:52:30;16691.98282061337
2035-07-03 05:07:30;17183.996319696267
2035-07-03 05:22:30;17404.9257173468
2035-07-03 05:37:30;17852.173034541778
2035-07-03 05:52:30;18529.883288122677
2035-07-03 06:07:30;19719.088619941394
2035-07-03 06:22:30;20567.98806907515
2035-07-03 06:37:30;21233.26327213163
2035-07-03 06:52:30;21848.798273090426
2035-07-03 07:07:30;22349.516307540413
2035-07-03 07:22:30;22805.05365841834
2035-07-03 07:37:30;23156.551086575284
2035-07-03 07:52:30;23476.960888421178
2035-07-03 08:07:30;23925.866212352747
2035-07-03 08:22:30;24426.584246802733
2035-07-03 08:37:30;24728.341472861997
2035-07-03 08:52:30;25025.124678711494
2035-07-03 09:07:30;24998.596570926064
2035-07-03 09:22:30;25144.501163745925
2035-07-03 09:37:30;25283.773729619432
2035-07-03 09:52:30;25534.54724852857
2035-07-03 10:07:30;25640.65967967029
2035-07-03 10:22:30;25667.602289139868
2035-07-03 10:37:30;25715.26998281681
2035-07-03 10:52:30;25695.373901977742
2035-07-03 11:07:30;25568.536386628653
2035-07-03 11:22:30;25852.88454195373
2035-07-03 11:37:30;25868.22110426718
2035-07-03 11:52:30;25871.951619424508
2035-07-03 12:07:30;25811.01987185485
2035-07-03 12:22:30;25915.05979457583
2035-07-03 12:37:30;25905.111754156296
2035-07-03 12:52:30;25789.465784279186
2035-07-03 13:07:30;25660.141258825217
2035-07-03 13:22:30;25539.521268738343
2035-07-03 13:37:30;25239.836551099816
2035-07-03 13:52:30;24945.125853671056
2035-07-03 14:07:30;24671.96924381796
2035-07-03 14:22:30;24589.06890698849
2035-07-03 14:37:30;24498.293038160224
