Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2030-01-02 11:15:00;2030-01-02 11:30:00;2030-01-02 11:22:30;18136,28173217329
2030-01-02 11:30:00;2030-01-02 11:45:00;2030-01-02 11:37:30;18225,54186786814
2030-01-02 11:45:00;2030-01-02 12:00:00;2030-01-02 11:52:30;18398,37105678066
2030-01-02 12:00:00;2030-01-02 12:15:00;2030-01-02 12:07:30;18489,128845758984
2030-01-02 12:15:00;2030-01-02 12:30:00;2030-01-02 12:22:30;18428,02459179338
2030-01-02 12:30:00;2030-01-02 12:45:00;2030-01-02 12:37:30;18475,350435551052
2030-01-02 12:45:00;2030-01-02 13:00:00;2030-01-02 12:52:30;18378,002972125458
2030-01-02 13:00:00;2030-01-02 13:15:00;2030-01-02 13:07:30;18256,992586821027
2030-01-02 13:15:00;2030-01-02 13:30:00;2030-01-02 13:22:30;18132,088302979573
2030-01-02 13:30:00;2030-01-02 13:45:00;2030-01-02 13:37:30;18094,34744023611
2030-01-02 13:45:00;2030-01-02 14:00:00;2030-01-02 13:52:30;17940,68821335202
2030-01-02 14:00:00;2030-01-02 14:15:00;2030-01-02 14:07:30;17772,05245363322
2030-01-02 14:15:00;2030-01-02 14:30:00;2030-01-02 14:22:30;17705,55664784712
2030-01-02 14:30:00;2030-01-02 14:45:00;2030-01-02 14:37:30;17742,3989186205
2030-01-02 14:45:00;2030-01-02 15:00:00;2030-01-02 14:52:30;17694,77354420613
2030-01-02 15:00:00;2030-01-02 15:15:00;2030-01-02 15:07:30;17819,378297390893
2030-01-02 15:15:00;2030-01-02 15:30:00;2030-01-02 15:22:30;17679,797011371425
2030-01-02 15:30:00;2030-01-02 15:45:00;2030-01-02 15:37:30;17593,831712900206
2030-01-02 15:45:00;2030-01-02 16:00:00;2030-01-02 15:52:30;17613,001674928633
2030-01-02 16:00:00;2030-01-02 16:15:00;2030-01-02 16:07:30;17726,224263159016
2030-01-02 16:15:00;2030-01-02 16:30:00;2030-01-02 16:22:30;17873,59334625253
2030-01-02 16:30:00;2030-01-02 16:45:00;2030-01-02 16:37:30;17971,83940164821
2030-01-02 16:45:00;2030-01-02 17:00:00;2030-01-02 16:52:30;18178,515554767164
2030-01-02 17:00:00;2030-01-02 17:15:00;2030-01-02 17:07:30;18344,755069232408
2030-01-02 17:15:00;2030-01-02 17:30:00;2030-01-02 17:22:30;18311,207635682666
2030-01-02 17:30:00;2030-01-02 17:45:00;2030-01-02 17:37:30;18279,157855416393
2030-01-02 17:45:00;2030-01-02 18:00:00;2030-01-02 17:52:30;18262,98319995491
2030-01-02 18:00:00;2030-01-02 18:15:00;2030-01-02 18:07:30;18293,535326937712
2030-01-02 18:15:00;2030-01-02 18:30:00;2030-01-02 18:22:30;18193,192556945174
2030-01-02 18:30:00;2030-01-02 18:45:00;2030-01-02 18:37:30;18097,642277459745
2030-01-02 18:45:00;2030-01-02 19:00:00;2030-01-02 18:52:30;18082,066683311652
2030-01-02 19:00:00;2030-01-02 19:15:00;2030-01-02 19:07:30;18017,667592122412
2030-01-02 19:15:00;2030-01-02 19:30:00;2030-01-02 19:22:30;17973,037524274987
2030-01-02 19:30:00;2030-01-02 19:45:00;2030-01-02 19:37:30;17788,82617040809
2030-01-02 19:45:00;2030-01-02 20:00:00;2030-01-02 19:52:30;17609,407307048303
2030-01-02 20:00:00;2030-01-02 20:15:00;2030-01-02 20:07:30;17278,725462057977
2030-01-02 20:15:00;2030-01-02 20:30:00;2030-01-02 20:22:30;16897,722466743035
2030-01-02 20:30:00;2030-01-02 20:45:00;2030-01-02 20:37:30;16575,427480140144
2030-01-02 20:45:00;2030-01-02 21:00:00;2030-01-02 20:52:30;16344,189813172268
2030-01-02 21:00:00;2030-01-02 21:15:00;2030-01-02 21:07:30;16241,45079792618
2030-01-02 21:15:00;2030-01-02 21:30:00;2030-01-02 21:22:30;16033,276991523755
2030-01-02 21:30:00;2030-01-02 21:45:00;2030-01-02 21:37:30;15820,310694614223
2030-01-02 21:45:00;2030-01-02 22:00:00;2030-01-02 21:52:30;15590,271150273127
2030-01-02 22:00:00;2030-01-02 22:15:00;2030-01-02 22:07:30;15388,387487661279
2030-01-02 22:15:00;2030-01-02 22:30:00;2030-01-02 22:22:30;15182,010865199018
2030-01-02 22:30:00;2030-01-02 22:45:00;2030-01-02 22:37:30;14917,82482599479
2030-01-02 22:45:00;2030-01-02 23:00:00;2030-01-02 22:52:30;14644,95239774643
2030-01-02 23:00:00;2030-01-02 23:15:00;2030-01-02 23:07:30;14410,719424211617
2030-01-02 23:15:00;2030-01-02 23:30:00;2030-01-02 23:22:30;14229,802907568357
2030-01-02 23:30:00;2030-01-02 23:45:00;2030-01-02 23:37:30;14000,062893883955
2030-01-02 23:45:00;2030-01-03 00:00:00;2030-01-02 23:52:30;13795,183924705165
2030-01-03 00:00:00;2030-01-03 00:15:00;2030-01-03 00:07:30;13541,780989141926
2030-01-03 00:15:00;2030-01-03 00:30:00;2030-01-03 00:22:30;13313,538628740993
2030-01-03 00:30:00;2030-01-03 00:45:00;2030-01-03 00:37:30;13151,193012812771
2030-01-03 00:45:00;2030-01-03 01:00:00;2030-01-03 00:52:30;12996,335663301901
2030-01-03 01:00:00;2030-01-03 01:15:00;2030-01-03 01:07:30;12833,39098606029
2030-01-03 01:15:00;2030-01-03 01:30:00;2030-01-03 01:22:30;12683,625657713223
2030-01-03 01:30:00;2030-01-03 01:45:00;2030-01-03 01:37:30;12644,387141686291
2030-01-03 01:45:00;2030-01-03 02:00:00;2030-01-03 01:52:30;12619,226566523983
2030-01-03 02:00:00;2030-01-03 02:15:00;2030-01-03 02:07:30;12540,74953447012
2030-01-03 02:15:00;2030-01-03 02:30:00;2030-01-03 02:22:30;12482,341056414763
2030-01-03 02:30:00;2030-01-03 02:45:00;2030-01-03 02:37:30;12551,532638111108
2030-01-03 02:45:00;2030-01-03 03:00:00;2030-01-03 02:52:30;12526,671593605495
2030-01-03 03:00:00;2030-01-03 03:15:00;2030-01-03 03:07:30;12514,091306024342
2030-01-03 03:15:00;2030-01-03 03:30:00;2030-01-03 03:22:30;12470,060299490304
2030-01-03 03:30:00;2030-01-03 03:45:00;2030-01-03 03:37:30;12545,542024977227
2030-01-03 03:45:00;2030-01-03 04:00:00;2030-01-03 03:52:30;12611,438769449936
2030-01-03 04:00:00;2030-01-03 04:15:00;2030-01-03 04:07:30;12799,544021853853
2030-01-03 04:15:00;2030-01-03 04:30:00;2030-01-03 04:22:30;12938,22671590324
2030-01-03 04:30:00;2030-01-03 04:45:00;2030-01-03 04:37:30;13134,119765381205
2030-01-03 04:45:00;2030-01-03 05:00:00;2030-01-03 04:52:30;13209,301960211433
2030-01-03 05:00:00;2030-01-03 05:15:00;2030-01-03 05:07:30;13441,43821914939
2030-01-03 05:15:00;2030-01-03 05:30:00;2030-01-03 05:22:30;13599,2908752272
2030-01-03 05:30:00;2030-01-03 05:45:00;2030-01-03 05:37:30;13773,91724807988
2030-01-03 05:45:00;2030-01-03 06:00:00;2030-01-03 05:52:30;14136,64887333648
2030-01-03 06:00:00;2030-01-03 06:15:00;2030-01-03 06:07:30;14712,646326159305
2030-01-03 06:15:00;2030-01-03 06:30:00;2030-01-03 06:22:30;15046,623008373268
2030-01-03 06:30:00;2030-01-03 06:45:00;2030-01-03 06:37:30;15404,262612466067
2030-01-03 06:45:00;2030-01-03 07:00:00;2030-01-03 06:52:30;15766,694707065973
2030-01-03 07:00:00;2030-01-03 07:15:00;2030-01-03 07:07:30;16219,285529330815
2030-01-03 07:15:00;2030-01-03 07:30:00;2030-01-03 07:22:30;16647,913899060124
2030-01-03 07:30:00;2030-01-03 07:45:00;2030-01-03 07:37:30;16930,071777666002
2030-01-03 07:45:00;2030-01-03 08:00:00;2030-01-03 07:52:30;17169,396772364616
2030-01-03 08:00:00;2030-01-03 08:15:00;2030-01-03 08:07:30;17343,723614560604
2030-01-03 08:15:00;2030-01-03 08:30:00;2030-01-03 08:22:30;17439,87295535942
2030-01-03 08:30:00;2030-01-03 08:45:00;2030-01-03 08:37:30;17554,89272752997
2030-01-03 08:45:00;2030-01-03 09:00:00;2030-01-03 08:52:30;17589,0392223931
2030-01-03 09:00:00;2030-01-03 09:15:00;2030-01-03 09:07:30;17620,78947200268
2030-01-03 09:15:00;2030-01-03 09:30:00;2030-01-03 09:22:30;17809,194255063292
2030-01-03 09:30:00;2030-01-03 09:45:00;2030-01-03 09:37:30;17857,718221447743
2030-01-03 09:45:00;2030-01-03 10:00:00;2030-01-03 09:52:30;17836,751075479155
2030-01-03 10:00:00;2030-01-03 10:15:00;2030-01-03 10:07:30;17889,768001714016
2030-01-03 10:15:00;2030-01-03 10:30:00;2030-01-03 10:22:30;17966,447849827713
2030-01-03 10:30:00;2030-01-03 10:45:00;2030-01-03 10:37:30;18016,469469495634
2030-01-03 10:45:00;2030-01-03 11:00:00;2030-01-03 10:52:30;18083,264805938426
2030-01-03 11:00:00;2030-01-03 11:15:00;2030-01-03 11:07:30;18106,328666503876
2030-01-03 11:15:00;2030-01-03 11:30:00;2030-01-03 11:22:30;18233,629195598885
2030-01-03 11:30:00;2030-01-03 11:45:00;2030-01-03 11:37:30;18338,464925441833
2030-01-03 11:45:00;2030-01-03 12:00:00;2030-01-03 11:52:30;18364,823623230917
2030-01-03 12:00:00;2030-01-03 12:15:00;2030-01-03 12:07:30;18256,39352550764
2030-01-03 12:15:00;2030-01-03 12:30:00;2030-01-03 12:22:30;18203,975660586166
2030-01-03 12:30:00;2030-01-03 12:45:00;2030-01-03 12:37:30;18178,21602411047
2030-01-03 12:45:00;2030-01-03 13:00:00;2030-01-03 12:52:30;18078,771846088017
2030-01-03 13:00:00;2030-01-03 13:15:00;2030-01-03 13:07:30;17910,735147682604
2030-01-03 13:15:00;2030-01-03 13:30:00;2030-01-03 13:22:30;17757,974512768596
2030-01-03 13:30:00;2030-01-03 13:45:00;2030-01-03 13:37:30;17654,037374895728
2030-01-03 13:45:00;2030-01-03 14:00:00;2030-01-03 13:52:30;17627,678677106644
2030-01-03 14:00:00;2030-01-03 14:15:00;2030-01-03 14:07:30;17561,182871320547
2030-01-03 14:15:00;2030-01-03 14:30:00;2030-01-03 14:22:30;17509,06453705577
2030-01-03 14:30:00;2030-01-03 14:45:00;2030-01-03 14:37:30;17455,748080164212
2030-01-03 14:45:00;2030-01-03 15:00:00;2030-01-03 14:52:30;17454,549957537434
2030-01-03 15:00:00;2030-01-03 15:15:00;2030-01-03 15:07:30;17480,90865532652
2030-01-03 15:15:00;2030-01-03 15:30:00;2030-01-03 15:22:30;17375,773394826876
2030-01-03 15:30:00;2030-01-03 15:45:00;2030-01-03 15:37:30;17386,85602912456
2030-01-03 15:45:00;2030-01-03 16:00:00;2030-01-03 15:52:30;17329,346143039285
2030-01-03 16:00:00;2030-01-03 16:15:00;2030-01-03 16:07:30;17534,824173531462
2030-01-03 16:15:00;2030-01-03 16:30:00;2030-01-03 16:22:30;17648,945353731928
2030-01-03 16:30:00;2030-01-03 16:45:00;2030-01-03 16:37:30;17852,326669627248
2030-01-03 16:45:00;2030-01-03 17:00:00;2030-01-03 16:52:30;18041,33051400125
2030-01-03 17:00:00;2030-01-03 17:15:00;2030-01-03 17:07:30;18348,049906456043
2030-01-03 17:15:00;2030-01-03 17:30:00;2030-01-03 17:22:30;18503,506317280302
2030-01-03 17:30:00;2030-01-03 17:45:00;2030-01-03 17:37:30;18674,538322252654
2030-01-03 17:45:00;2030-01-03 18:00:00;2030-01-03 17:52:30;18655,068829567535
2030-01-03 18:00:00;2030-01-03 18:15:00;2030-01-03 18:07:30;18473,253720954195
2030-01-03 18:15:00;2030-01-03 18:30:00;2030-01-03 18:22:30;18438,20863412098
2030-01-03 18:30:00;2030-01-03 18:45:00;2030-01-03 18:37:30;18468,760761103782
2030-01-03 18:45:00;2030-01-03 19:00:00;2030-01-03 18:52:30;18358,833010097034
2030-01-03 19:00:00;2030-01-03 19:15:00;2030-01-03 19:07:30;18223,744683927976
2030-01-03 19:15:00;2030-01-03 19:30:00;2030-01-03 19:22:30;17973,037524274987
2030-01-03 19:30:00;2030-01-03 19:45:00;2030-01-03 19:37:30;17799,01021273569
2030-01-03 19:45:00;2030-01-03 20:00:00;2030-01-03 19:52:30;17583,9472012293
2030-01-03 20:00:00;2030-01-03 20:15:00;2030-01-03 20:07:30;17346,41939047085
2030-01-03 20:15:00;2030-01-03 20:30:00;2030-01-03 20:22:30;17062,164797268117
2030-01-03 20:30:00;2030-01-03 20:45:00;2030-01-03 20:37:30;16831,825722270325
2030-01-03 20:45:00;2030-01-03 21:00:00;2030-01-03 20:52:30;16582,6162159008
2030-01-03 21:00:00;2030-01-03 21:15:00;2030-01-03 21:07:30;16343,590751858881
2030-01-03 21:15:00;2030-01-03 21:30:00;2030-01-03 21:22:30;16140,508966620257
2030-01-03 21:30:00;2030-01-03 21:45:00;2030-01-03 21:37:30;15996,434720750376
2030-01-03 21:45:00;2030-01-03 22:00:00;2030-01-03 21:52:30;15821,508817241
2030-01-03 22:00:00;2030-01-03 22:15:00;2030-01-03 22:07:30;15782,569831870762
2030-01-03 22:15:00;2030-01-03 22:30:00;2030-01-03 22:22:30;15580,38663860222
2030-01-03 22:30:00;2030-01-03 22:45:00;2030-01-03 22:37:30;15280,256920594695
2030-01-03 22:45:00;2030-01-03 23:00:00;2030-01-03 22:52:30;15024,457739777903
2030-01-03 23:00:00;2030-01-03 23:15:00;2030-01-03 23:07:30;14807,897074988041
2030-01-03 23:15:00;2030-01-03 23:30:00;2030-01-03 23:22:30;14511,66125551754
2030-01-03 23:30:00;2030-01-03 23:45:00;2030-01-03 23:37:30;14420,304405225828
2030-01-03 23:45:00;2030-01-04 00:00:00;2030-01-03 23:52:30;14191,762514168202
2030-01-04 00:00:00;2030-01-04 00:15:00;2030-01-04 00:07:30;14058,171841282618
2030-01-04 00:15:00;2030-01-04 00:30:00;2030-01-04 00:22:30;13959,027193916858
2030-01-04 00:30:00;2030-01-04 00:45:00;2030-01-04 00:37:30;13668,18292626685
2030-01-04 00:45:00;2030-01-04 01:00:00;2030-01-04 00:52:30;13625,350042359589
2030-01-04 01:00:00;2030-01-04 01:15:00;2030-01-04 01:07:30;13468,395978251861
2030-01-04 01:15:00;2030-01-04 01:30:00;2030-01-04 01:22:30;13390,518007511386
