Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2028-01-02 13:00:00;2028-01-02 13:15:00;2028-01-02 13:07:30;20457,763781226688
2028-01-02 13:15:00;2028-01-02 13:30:00;2028-01-02 13:22:30;20317,803033478107
2028-01-02 13:30:00;2028-01-02 13:45:00;2028-01-02 13:37:30;20275,51273559724
2028-01-02 13:45:00;2028-01-02 14:00:00;2028-01-02 13:52:30;20103,330808510855
2028-01-02 14:00:00;2028-01-02 14:15:00;2028-01-02 14:07:30;19914,367017186032
2028-01-02 14:15:00;2028-01-02 14:30:00;2028-01-02 14:22:30;19839,85553996736
2028-01-02 14:30:00;2028-01-02 14:45:00;2028-01-02 14:37:30;19881,13892599392
2028-01-02 14:45:00;2028-01-02 15:00:00;2028-01-02 14:52:30;19827,772597715688
2028-01-02 15:00:00;2028-01-02 15:15:00;2028-01-02 15:07:30;19967,3977081795
2028-01-02 15:15:00;2028-01-02 15:30:00;2028-01-02 15:22:30;19810,990733477247
2028-01-02 15:30:00;2028-01-02 15:45:00;2028-01-02 15:37:30;19714,662832748607
2028-01-02 15:45:00;2028-01-02 16:00:00;2028-01-02 15:52:30;19736,14361897381
2028-01-02 16:00:00;2028-01-02 16:15:00;2028-01-02 16:07:30;19863,01451261641
2028-01-02 16:15:00;2028-01-02 16:30:00;2028-01-02 16:22:30;20028,148056722646
2028-01-02 16:30:00;2028-01-02 16:45:00;2028-01-02 16:37:30;20138,237086126806
2028-01-02 16:45:00;2028-01-02 17:00:00;2028-01-02 16:52:30;20369,826812617266
2028-01-02 17:00:00;2028-01-02 17:15:00;2028-01-02 17:07:30;20556,105505663938
2028-01-02 17:15:00;2028-01-02 17:30:00;2028-01-02 17:22:30;20518,514129769836
2028-01-02 17:30:00;2028-01-02 17:45:00;2028-01-02 17:37:30;20482,600940299577
2028-01-02 17:45:00;2028-01-02 18:00:00;2028-01-02 17:52:30;20464,476526922062
2028-01-02 18:00:00;2028-01-02 18:15:00;2028-01-02 18:07:30;20498,711529968477
2028-01-02 18:15:00;2028-01-02 18:30:00;2028-01-02 18:22:30;20386,273039570937
2028-01-02 18:30:00;2028-01-02 18:45:00;2028-01-02 18:37:30;20279,204745729694
2028-01-02 18:45:00;2028-01-02 19:00:00;2028-01-02 18:52:30;20261,75160692172
2028-01-02 19:00:00;2028-01-02 19:15:00;2028-01-02 19:07:30;20189,589590696432
2028-01-02 19:15:00;2028-01-02 19:30:00;2028-01-02 19:22:30;20139,579635265884
2028-01-02 19:30:00;2028-01-02 19:45:00;2028-01-02 19:37:30;19933,162705133083
2028-01-02 19:45:00;2028-01-02 20:00:00;2028-01-02 19:52:30;19732,115971556585
2028-01-02 20:00:00;2028-01-02 20:15:00;2028-01-02 20:07:30;19361,57240917185
2028-01-02 20:15:00;2028-01-02 20:30:00;2028-01-02 20:22:30;18934,64178294596
2028-01-02 20:30:00;2028-01-02 20:45:00;2028-01-02 20:37:30;18573,496064534756
2028-01-02 20:45:00;2028-01-02 21:00:00;2028-01-02 20:52:30;18314,384080693257
2028-01-02 21:00:00;2028-01-02 21:15:00;2028-01-02 21:07:30;18199,260492017565
2028-01-02 21:15:00;2028-01-02 21:30:00;2028-01-02 21:22:30;17965,992579103262
2028-01-02 21:30:00;2028-01-02 21:45:00;2028-01-02 21:37:30;17727,35446963266
2028-01-02 21:45:00;2028-01-02 22:00:00;2028-01-02 21:52:30;17469,585034930238
2028-01-02 22:00:00;2028-01-02 22:15:00;2028-01-02 22:07:30;17243,36550499608
2028-01-02 22:15:00;2028-01-02 22:30:00;2028-01-02 22:22:30;17012,11141579039
2028-01-02 22:30:00;2028-01-02 22:45:00;2028-01-02 22:37:30;16716,079330624325
2028-01-02 22:45:00;2028-01-02 23:00:00;2028-01-02 22:52:30;16410,313764199967
2028-01-02 23:00:00;2028-01-02 23:15:00;2028-01-02 23:07:30;16147,84540751078
2028-01-02 23:15:00;2028-01-02 23:30:00;2028-01-02 23:22:30;15945,120487510438
2028-01-02 23:30:00;2028-01-02 23:45:00;2028-01-02 23:37:30;15687,686690092783
