Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2045-01-03 04:15:00;2045-01-03 04:30:00;2045-01-03 04:22:30;34866,463638396875
2045-01-03 04:30:00;2045-01-03 04:45:00;2045-01-03 04:37:30;35394,364256975685
2045-01-03 04:45:00;2045-01-03 05:00:00;2045-01-03 04:52:30;35596,968317011284
2045-01-03 05:00:00;2045-01-03 05:15:00;2045-01-03 05:07:30;36222,538621902066
2045-01-03 05:15:00;2045-01-03 05:30:00;2045-01-03 05:22:30;36647,9264292278
2045-01-03 05:30:00;2045-01-03 05:45:00;2045-01-03 05:37:30;37118,516736003716
2045-01-03 05:45:00;2045-01-03 06:00:00;2045-01-03 05:52:30;38096,020786613706
2045-01-03 06:00:00;2045-01-03 06:15:00;2045-01-03 06:07:30;39648,24233023304
2045-01-03 06:15:00;2045-01-03 06:30:00;2045-01-03 06:22:30;40548,25638178559
2045-01-03 06:30:00;2045-01-03 06:45:00;2045-01-03 06:37:30;41512,0382450625
2045-01-03 06:45:00;2045-01-03 07:00:00;2045-01-03 06:52:30;42488,73510818231
2045-01-03 07:00:00;2045-01-03 07:15:00;2045-01-03 07:07:30;43708,3954058468
2045-01-03 07:15:00;2045-01-03 07:30:00;2045-01-03 07:22:30;44863,48070429676
2045-01-03 07:30:00;2045-01-03 07:45:00;2045-01-03 07:37:30;45623,851320047885
2045-01-03 07:45:00;2045-01-03 08:00:00;2045-01-03 07:52:30;46268,79412470303
2045-01-03 08:00:00;2045-01-03 08:15:00;2045-01-03 08:07:30;46738,57724398876
2045-01-03 08:15:00;2045-01-03 08:30:00;2045-01-03 08:22:30;46997,684428337074
2045-01-03 08:30:00;2045-01-03 08:45:00;2045-01-03 08:37:30;47307,64442456683
2045-01-03 08:45:00;2045-01-03 09:00:00;2045-01-03 08:52:30;47399,66379844754
2045-01-03 09:00:00;2045-01-03 09:15:00;2045-01-03 09:07:30;47485,22567240679
2045-01-03 09:15:00;2045-01-03 09:30:00;2045-01-03 09:22:30;47992,946603731056
2045-01-03 09:30:00;2045-01-03 09:45:00;2045-01-03 09:37:30;48123,71097714049
2045-01-03 09:45:00;2045-01-03 10:00:00;2045-01-03 09:52:30;48067,20785282777
2045-01-03 10:00:00;2045-01-03 10:15:00;2045-01-03 10:07:30;48210,08003858993
2045-01-03 10:15:00;2045-01-03 10:30:00;2045-01-03 10:22:30;48416,72003607643
2045-01-03 10:30:00;2045-01-03 10:45:00;2045-01-03 10:37:30;48551,52034693677
2045-01-03 10:45:00;2045-01-03 11:00:00;2045-01-03 10:52:30;48731,52315724728
2045-01-03 11:00:00;2045-01-03 11:15:00;2045-01-03 11:07:30;48793,676593991266
2045-01-03 11:15:00;2045-01-03 11:30:00;2045-01-03 11:22:30;49136,731277318475
2045-01-03 11:30:00;2045-01-03 11:45:00;2045-01-03 11:37:30;49419,246898882055
2045-01-03 11:45:00;2045-01-03 12:00:00;2045-01-03 11:52:30;49490,27939801804
2045-01-03 12:00:00;2045-01-03 12:15:00;2045-01-03 12:07:30;49198,07752657228
2045-01-03 12:15:00;2045-01-03 12:30:00;2045-01-03 12:22:30;49056,81971579049
2045-01-03 12:30:00;2045-01-03 12:45:00;2045-01-03 12:37:30;48987,401591634865
2045-01-03 12:45:00;2045-01-03 13:00:00;2045-01-03 12:52:30;48719,41534489456
2045-01-03 13:00:00;2045-01-03 13:15:00;2045-01-03 13:07:30;48266,58316290264
2045-01-03 13:15:00;2045-01-03 13:30:00;2045-01-03 13:22:30;47854,91754290999
2045-01-03 13:30:00;2045-01-03 13:45:00;2045-01-03 13:37:30;47574,82348381696
2045-01-03 13:45:00;2045-01-03 14:00:00;2045-01-03 13:52:30;47503,79098468097
2045-01-03 14:00:00;2045-01-03 14:15:00;2045-01-03 14:07:30;47324,59536186064
2045-01-03 14:15:00;2045-01-03 14:30:00;2045-01-03 14:22:30;47184,14473856903
2045-01-03 14:30:00;2045-01-03 14:45:00;2045-01-03 14:37:30;47040,4653653167
2045-01-03 14:45:00;2045-01-03 15:00:00;2045-01-03 14:52:30;47037,23661535597
2045-01-03 15:00:00;2045-01-03 15:15:00;2045-01-03 15:07:30;47108,26911449196
2045-01-03 15:15:00;2045-01-03 15:30:00;2045-01-03 15:22:30;46824,94630543819
